Mot1,Mot2,Poids
911,Afghanistan,0.00435457612061251
911,Afrique,0.000159469222909769
911,Algérie,0.000232348822520116
911,Allemagne,0.000187610850482081
911,Amérique latine,0.000187610850482081
911,Antiracisme,0.000131327595337457
911,Arabie saoudite,0.00357390652610651
911,Attentat de Bruxelles (mai 2014),0.000101021227182659
911,Attentats de Bruxelles (mars 2016),0.000383038819734249
911,Attentats de Paris (janv. 2015),0.00113504564541659
911,Attentats Paris,0.000658201400441301
911,Australie,0.000145919550374952
911,Banlieues,0.000187610850482081
911,Banques,0.000515929838825723
911,Barack Obama,0.00376995038956481
911,Belgique,0.00026518072135448
911,BHL,0.000328318988343642
911,Canada,0.00085884078220686
911,Caroline Fourest,0.00110690401784428
911,Chine,0.000846901909903454
911,Christianisme,0.000119388723034052
911,Cinéma,0.000187610850482081
911,Communautés,0.000350206920899884
911,Cuba,0.000187610850482081
911,Culture,0.000328318988343642
911,Cyberguerre,0.000218879325562428
911,Daech,0.000514366415071705
911,Défense,0.000378268372895068
911,Désinformation,0.00235764302105815
911,Dieudonné,0.000350206920899884
911,Donald Trump,0.000779547136426185
911,Écologie,0.000429340215526301
911,Économie,0.000438327168853589
911,Éducation,0.000766077639468497
911,Edward Snowden,0.00036479887593738
911,Égypte,0.000164159494171821
911,Émirats arabes unis,0.000187610850482081
911,Énergie,0.000246940777557611
911,États-Unis,0.0342574151292028
911,Ex-Urss,0.000440411733858946
911,Ex-Yougoslavie,0.000253274648150809
911,Extrême gauche,0.00058255574342
911,Féminisme,0.000583678201499808
911,Fidel Castro,0.000437758651124856
911,Forces de l’ordre,0.000101021227182659
911,France,0.0068746548609342
911,François Hollande,0.000451228148082543
911,Front national,0.000119388723034052
911,Futur,0.000101021227182659
911,Géopolitique,0.00522105362654091
911,Giulietto Chiesa,0.00161032646663786
911,Handicap,0.000218879325562428
911,Hezbollah,0.000382043913708965
911,Histoire,0.00517914913228551
911,Hugo Chávez,0.000164159494171821
911,Humour,0.000350206920899884
911,Immigration,6.56637976687283e-05
911,Inde,0.000101021227182659
911,Insolite,0.000328318988343642
911,International,0.0415149557474059
911,Internet,0.000406490176044509
911,Irak,0.00299291420644053
911,Iran,0.00406160909526617
911,Islam,0.00187120503941048
911,Israël,0.00739605121638236
911,Israël Adam Shamir,0.000656637976687283
911,Italie,0.00036479887593738
911,Japon,0.000218879325562428
911,Jean-Claude Paye,0.000187610850482081
911,Johan Livernette,0.000328318988343642
911,Judaïsme,0.000494610423998214
911,Justice & Droit,0.00627810847930518
911,Kosovo,0.000218879325562428
911,Laurent Guyénot,0.000187610850482081
911,Liban,0.000666587036940121
911,Liberté d’expression,0.00132734676716072
911,Libye,0.00113222674501162
911,LRPS,0.000951130160171277
911,Maghreb,0.00023529527497961
911,Manlio Dinucci,0.000310079044546773
911,Manuel Valls,0.000101021227182659
911,Marine Le Pen,0.000351737545554167
911,Maroc,0.000131327595337457
911,Médias,0.00916791689355769
911,Monarchies du Golfe,0.000201468470119962
911,Mondialisme,0.000663673383580361
911,N.W.O.,0.00131874793651363
911,Najat Vallaud-Belkacem,0.000187610850482081
911,Nicolas Sarkozy,0.000451228148082543
911,Noam Chomsky,0.000437758651124856
911,Nucléaire,0.000101021227182659
911,ONU,0.000131327595337457
911,Opinions,0.00251390522088276
911,OTAN,0.00204782454713705
911,Pakistan,0.00213138754239985
911,Palestine,0.000812506587315073
911,People,0.000875517302249711
911,Philosophie,0.000101021227182659
911,Pierre Hillard,0.000569086246462312
911,Politique,0.00605406511770675
911,Presse,0.000669145366719422
911,Proche-Orient,8.20797470859104e-05
911,Qatar,0.000537817771381965
911,Québec,8.75517302249711e-05
911,Quenelle,0.000218879325562428
911,Religion,0.000415610147942943
911,Renseignement,0.00422749783086289
911,Royaume-Uni,0.00158114255656287
911,Russie,0.00112440962624153
911,Santé,0.000187610850482081
911,Science,0.000328318988343642
911,Seconde Guerre mondiale,0.00018505252070278
911,Sécurité,0.000101021227182659
911,Serbie,0.000284543123231156
911,Services publics,0.000383038819734249
911,SIDA,0.000218879325562428
911,Sionisme,0.00151748314832237
911,Société,0.000547198313906069
911,Somalie,9.38054252410405e-05
911,Soudan,9.38054252410405e-05
911,Syndicats,0.000262655190674913
911,Syrie,0.00206316541495182
911,Terrorisme,0.00138824011799027
911,Thierry Meyssan,0.00269630465885145
911,Turquie,0.000597227874034624
911,Ukraine,0.000187610850482081
911,Union européenne,0.000530782364488887
911,Yémen,9.38054252410405e-05
911,Youssef Hindi,8.75517302249711e-05
Abkhazie,Géorgie,0.000547198313906069
Abkhazie,International,0.000547198313906069
Abkhazie,OTAN,0.000218879325562428
Abkhazie,Politique,0.000656637976687283
Abkhazie,Russie,0.000547198313906069
Abkhazie,Vladimir Poutine,0.000218879325562428
Adoption,Afrique du Sud,0.000218879325562428
Adoption,Alain Juppé,0.000328318988343642
Adoption,Aude Mirkovic,0.000262655190674913
Adoption,Bulgarie,0.000262655190674913
Adoption,Christianisme,0.000218879325562428
Adoption,Colombie,0.000218879325562428
Adoption,Communautés,0.00102873283014341
Adoption,Congo,0.000328318988343642
Adoption,Économie,0.000262655190674913
Adoption,Éducation,0.000218879325562428
Adoption,Estonie,0.000328318988343642
Adoption,États-Unis,0.000262655190674913
Adoption,Forces de l’ordre,0.000262655190674913
Adoption,France,0.000809853504580983
Adoption,Grèce,0.000525310381349827
Adoption,International,0.00102873283014341
Adoption,Italie,0.000437758651124856
Adoption,Justice & Droit,0.000853629369693469
Adoption,Mariage homosexuel,0.00216690532306804
Adoption,Mondialisme,0.000262655190674913
Adoption,Nicolas Dupont-Aignan,0.000218879325562428
Adoption,Opinions,0.000218879325562428
Adoption,Philosophie,0.000218879325562428
Adoption,PMA/GPA,0.00161970700916197
Adoption,Politique,0.00161970700916197
Adoption,Portugal,0.000218879325562428
Adoption,Russie,0.000262655190674913
Adoption,Sexualité,0.000218879325562428
Adoption,Société,0.00199180186261809
Adoption,Suisse,0.000262655190674913
Adoption,Théorie du genre,0.000218879325562428
Adoption,Tradition,0.000437758651124856
Adrien Sajous,Jeux vidéo,0.000328318988343642
Adrien Sajous,Mondialisme,0.000328318988343642
Adrien Sajous,Société,0.000328318988343642
Affaire Bourarach,Antifa,0.000328318988343642
Affaire Bourarach,Christian Bouchet,0.000262655190674913
Affaire Bourarach,Clément Méric,0.000328318988343642
Affaire Bourarach,Communautés,0.00159781907660572
Affaire Bourarach,Délinquance ,0.000187610850482081
Affaire Bourarach,Dieudonné,0.000656637976687283
Affaire Bourarach,France,0.00283605068978746
Affaire Bourarach,Islam,0.000187610850482081
Affaire Bourarach,Israël,0.000515929838825723
Affaire Bourarach,Judaïsme,0.00210124152539931
Affaire Bourarach,Justice & Droit,0.00360212832925595
Affaire Bourarach,Nicolas Bourgoin,0.000218879325562428
Affaire Bourarach,Politique,0.000328318988343642
Affaire Bourarach,Sionisme,0.000778585029500636
Affaire Bourarach,Société,0.000262655190674913
